province_id,name
1,Hồ Chí Minh
2,Hà Nội
3,Đà Nẵng
4,Cần Thơ
5,Khánh Hòa
6,Đồng Nai
7,Hải Phòng
8,Tiền Giang
9,An Giang
10,Bắc Giang
11,Nam Định
12,Thanh Hóa
13,Nghệ An
14,Thừa Thiên - Huế
15,Thái Nguyên
16,Vĩnh Phúc
17,Bình Dương
18,Quảng Ninh
19,Sơn La
20,Bình Định
21,Kiên Giang
22,Vĩnh Long
23,Đắk Lắk
24,Long An
25,Lâm Đồng
26,Đồng Tháp
27,Bình Thuận
28,Cà Mau
29,Phú Thọ
30,Tây Ninh
31,Hưng Yên
32,Thái Bình
33,Quảng Nam
34,Bến Tre
35,Quảng Ngãi
36,Lạng Sơn
37,Hải Dương
38,Ninh Bình
39,Bắc Kạn
40,Cao Bằng
41,Hà Giang
42,Tuyên Quang
43,Điện Biên
44,Hòa Bình
45,Lai Châu
46,Lào Cai
47,Yên Bái
48,Bắc Ninh
49,Hà Nam
50,Ninh Thuận
51,Phú Yên
52,Hà Tĩnh
53,Quảng Bình
54,Quảng Trị
55,Đắk Nông
56,Gia Lai
57,Kon Tum
58,Bà Rịa - Vũng Tàu
59,Bình Phước
60,Bạc Liêu
61,Hậu Giang
62,Sóc Trăng
63,Trà Vinh
